"Timestamp","California Proposition 1, Right to Reproductive Freedom Amendment (2022)","California Proposition 30, Tax on Income Above $2 Million for Zero-Emissions Vehicles and Wildfire Prevention Initiative (2022)","California Proposition 31, Flavored Tobacco Products Ban Referendum (2022)","What is your ethnicity?","My primary language is...","What is your average family income?","What is your gender?","What is your age?","What is your party self-identification?","What is your education background?","How important are the following issues to you? [Cost of Living]","How important are the following issues to you? [Healthcare]","How important are the following issues to you? [Environment]","How important are the following issues to you? [Education]","How important are the following issues to you? [Women's Rights]","Do you have healthcare?","Do you smoke?","I am registered to vote.","I plan to vote in the November 2022 election.","",""
"2022/07/20 11:16:12 PM MDT","Yes","Yes","Yes","Caucasian","English","$100,000 - $400,000","Female","65+","Democrat","Bachelor's degree (for example: BA. BS)","","","","","","Yes","No","","","5","5"
"2022/07/20 11:36:03 PM MDT","Yes","Yes","Yes","Caucasian","English","$100,000 - $400,000","Female","65+","Democrat","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","","","","","","Yes","No","","","5","5"
"2022/07/21 9:42:16 AM MDT","Yes","Yes","Yes","Caucasian","English","$100,000 - $400,000","Female","18-25","Democrat","High school","Important","Important","Very Important","Very Important","Very Important","Yes","No","No","Yes","",""
"2022/07/21 9:49:05 AM MDT","Yes","Yes","Yes","Caucasian","Spanish","$50,000- $100,000","Female","65+","Republican","Bachelor's degree (for example: BA. BS)","Very Important","Very Important","Very Important","Very Important","Very Important","Yes","No","Yes","Yes","",""
"2022/07/21 12:19:15 PM MDT","No","Yes","Yes","Caucasian","English","$100,000 - $400,000","Female","18-25","Democrat","Some college","Important","Important","Important","Important","Important","Yes","No","Yes","Yes","",""
"2022/07/21 1:33:39 PM MDT","Yes","Yes","Yes","Caucasian","English","$20,000 - $50,000","Female","65+","Democrat","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","Very Important","Very Important","Very Important","Important","Very Important","Yes","No","Yes","Yes","",""
"2022/07/21 4:02:15 PM MDT","Yes","Yes","Yes","Asian","English","$0 - $20,000","Male","18-25","Democrat","Some college","Very Important","Very Important","Important","Important","Very Important","Yes","No","Yes","Yes","",""
"2022/07/21 4:12:39 PM MDT","Yes","Yes","No","Asian","English","$100,000 - $400,000","Female","18-25","Democrat","Bachelor's degree (for example: BA. BS)","Very Important","Very Important","Very Important","Very Important","Very Important","Yes","No","Yes","Yes","",""
"2022/07/21 4:23:52 PM MDT","Yes","Yes","No","Asian","Chinese","$100,000 - $400,000","Female","18-25","Independent","Some college","Somewhat Important","Somewhat Important","Somewhat Unimportant","Important","Somewhat Important","Yes","No","No","Maybe","",""
"2022/07/21 5:50:12 PM MDT","Yes","Yes","Yes","Caucasian","English","$100,000 - $400,000","Male","65+","Democrat","Ph.D. or higher","Somewhat Unimportant","Important","Important","Somewhat Important","Important","Yes","No","Yes","Yes","",""
"2022/07/21 8:34:47 PM MDT","Yes","Yes","No","Hispanic or Latino(a)","English","$50,000- $100,000","Female","25-40","Democrat","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Important","Important","Yes","No","Yes","Maybe","",""
"2022/07/21 11:23:45 PM MDT","Yes","Yes","Yes","Hispanic or Latino(a)","Spanish","$50,000- $100,000","Female","65+","Democrat","Some college","Important","Important","Important","Important","Important","Yes","No","Yes","Yes","",""
"2022/07/22 8:59:09 AM MDT","Yes","Yes","No","Hispanic or Latino(a)","English","$20,000 - $50,000","Female","25-40","Democrat","Associate's degree (for example: AA. AS)","Important","Important","Somewhat Important","Somewhat Important","Somewhat Important","Yes","No","Yes","Maybe","",""
"2022/07/22 9:01:52 AM MDT","No","No","No","Caucasian","English","$100,000 - $400,000","Male","40-65","Republican","Ph.D. or higher","Important","Somewhat Important","Somewhat Unimportant","Important","Somewhat Unimportant","Yes","Yes","Yes","Yes","",""
"2022/07/22 9:04:28 AM MDT","No","No","Yes","Hispanic or Latino(a)","Spanish","$100,000 - $400,000","Male","40-65","Republican","Bachelor's degree (for example: BA. BS)","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","No Opinion","Yes","Yes","Yes","Maybe","",""
"2022/07/22 9:06:28 AM MDT","Yes","Yes","No","Black or African American","English","$20,000 - $50,000","Male","40-65","Independent","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Somewhat Important","Important","No","No","Yes","Yes","",""
"2022/07/23 2:14:23 AM MDT","Yes","Yes","No","Caucasian","English","$100,000 - $400,000","Female","25-40","Other","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Somewhat Important","Important","Yes","No","Yes","Maybe","",""
"2022/07/24 9:56:38 AM MDT","Yes","Yes","Yes","Caucasian","English","$50,000- $100,000","Female","65+","Democrat","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Important","Important","Yes","No","Yes","Yes","",""
"2022/07/24 11:26:05 AM MDT","Yes","Yes","No","Caucasian","English","$100,000 - $400,000","Male","25-40","Independent","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Important","Important","Yes","No","Yes","Maybe","",""
"2022/07/24 10:43:15 PM MDT","Yes","Yes","Yes","Caucasian","English","$50,000- $100,000","Female","65+","Democrat","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","Important","Important","Important","Important","Important","Yes","No","Yes","Yes","",""
"2022/07/25 12:42:18 PM MDT","Yes","No","Yes","Caucasian","English","$50,000- $100,000","Male","65+","Other","Bachelor's degree (for example: BA. BS)","Important","Important","Important","Important","Important","Yes","No","Yes","Yes","",""
"2022/07/25 3:26:52 PM MDT","Yes","Yes","Yes","Hispanic or Latino(a)","Spanish","$20,000 - $50,000","Male","25-40","Democrat","Some college","Important","Important","Important","Important","Important","No","No","Yes","Yes","",""
"2022/07/25 3:29:28 PM MDT","Yes","Yes","Yes","Asian","Chinese","$20,000 - $50,000","Female","25-40","Independent","Associate's degree (for example: AA. AS)","Somewhat Important","Important","Important","Important","Important","No","No","Yes","Yes","",""
"2022/07/25 3:30:23 PM MDT","No","No","No","Caucasian","English","$400,000+","Male","65+","Republican","Ph.D. or higher","Somewhat Important","Somewhat Unimportant","Somewhat Unimportant","Important","Somewhat Unimportant","Yes","Yes","Yes","Yes","",""